id,fond,indeks
73,LHV Pensionifond Indeks,x
47,LHV Pensionifond L,
39,LHV Pensionifond M,
82,LHV Pensionifond Roheline,
46,LHV Pensionifond S,
38,LHV Pensionifond XL,
59,LHV Pensionifond XS,
48,Luminor A Pensionifond,
57,Luminor A Pluss Pensionifond,
49,Luminor B Pensionifond,
50,Luminor C Pensionifond,
86,"Luminor Pensionifond Jätkusuutlik Tulevik, Indeks",x
56,SEB Energiline Pensionifond,
60,SEB Konservatiivne Pensionifond,
51,SEB Optimaalne Pensionifond,
80,SEB Pensionifond 100,
75,SEB Pensionifond Indeks 100,x
61,SEB Progressiivne Pensionifond,
88,Swedbank Pensionifond Indeks,x
36,Swedbanki pensionifond 1960-69 sündinutele,
37,Swedbanki pensionifond 1970-79 sündinutele,
52,Swedbanki pensionifond 1980-89 sündinutele,
91,Swedbanki pensionifond 2000-09 sündinutele,
74,Swedbanki pensionifond indeks 1990-99 sündinutele,x
58,Swedbanki pensionifond Konservatiivne,
77,Tuleva Maailma Aktsiate Pensionifond,x
76,Tuleva Maailma Võlakirjade Pensionifond,x
